date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:56:44	109/109	---M--	200	added ('OK')	application/json	etag:W/%226d-b+2diby8nPZMZTeW7hMSpMmfZqE%22	https://yuzzu-api.herokuapp.com/api/textpro2/avengers?text=Yuzzu&text2=Kamiyaka	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/textpro2/avengers2d25.json	(from https://yuzzu-api.herokuapp.com/photooxy)
10:56:46	109/109	---M--	200	added ('OK')	application/json	etag:W/%226d-MCkjiLwBxZmuAe6WRAwV2nHAUCg%22	https://yuzzu-api.herokuapp.com/api/textpro2/steel-text?text=Yuzzu&text2=Kamiyaka	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/textpro2/steel-text2d25.json	(from https://yuzzu-api.herokuapp.com/photooxy)
10:56:48	109/109	---M--	200	added ('OK')	application/json	etag:W/%226d-DbqCeN5WejFXh+dKupaZkkQXSy0%22	https://yuzzu-api.herokuapp.com/api/textpro2/layered-text?text=Yuzzu&text2=Kamiyaka	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/textpro2/layered-text2d25.json	(from https://yuzzu-api.herokuapp.com/photooxy)
10:56:50	109/109	---M--	200	added ('OK')	application/json	etag:W/%226d-bWPGMep3I2nYISMi60KsYGMPI5E%22	https://yuzzu-api.herokuapp.com/api/textpro2/captain-america?text=Yuzzu&text2=Kamiyaka	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/textpro2/captain-america2d25.json	(from https://yuzzu-api.herokuapp.com/photooxy)
10:56:52	109/109	---M--	200	added ('OK')	application/json	etag:W/%226d-KbIPQRpCGdnmOmxBjg8Pe8V5Q5k%22	https://yuzzu-api.herokuapp.com/api/textpro2/marvel-studio?text=Yuzzu&text2=Kamiyaka	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/textpro2/marvel-studio2d25.json	(from https://yuzzu-api.herokuapp.com/photooxy)
10:56:54	109/109	---M--	200	added ('OK')	application/json	etag:W/%226d-t6k+zsh5JfHodyhWWCHchghaKOQ%22	https://yuzzu-api.herokuapp.com/api/textpro2/pornhub?text=Yuzzu&text2=Kamiyaka	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/textpro2/pornhub2d25.json	(from https://yuzzu-api.herokuapp.com/photooxy)
10:56:55	109/109	---M--	200	added ('OK')	application/json	etag:W/%226d-MdTmC/l7OoVe+KR9AzVDXvjZHnI%22	https://yuzzu-api.herokuapp.com/api/textpro2/glitch?text=Yuzzu&text2=Kamiyaka	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/textpro2/glitch2d25.json	(from https://yuzzu-api.herokuapp.com/photooxy)
10:56:57	31/31	---M--	200	added ('OK')	application/json	etag:W/%221f-+rj32HZdRexBLW6nV8PvutESRSY%22	https://yuzzu-api.herokuapp.com/api/love-message?text=Yuzzu	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/love-messagebd0e.json	(from https://yuzzu-api.herokuapp.com/photooxy)
10:56:58	31/31	---M--	200	added ('OK')	application/json	etag:W/%221f-+rj32HZdRexBLW6nV8PvutESRSY%22	https://yuzzu-api.herokuapp.com/api/sky-text?text=Yuzzu	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/sky-textbd0e.json	(from https://yuzzu-api.herokuapp.com/photooxy)
10:57:00	31/31	---M--	200	added ('OK')	application/json	etag:W/%221f-+rj32HZdRexBLW6nV8PvutESRSY%22	https://yuzzu-api.herokuapp.com/api/coffee-cup?text=Yuzzu	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/coffee-cupbd0e.json	(from https://yuzzu-api.herokuapp.com/photooxy)
